Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acetes,chinensis,31.25,123.75,1312:113:2,0.41
Acetes,chinensis,31.75,123.75,1312:113:4,0.5
Acetes,chinensis,31.25,124.25,1312:114:1,0.44
Acetes,chinensis,31.75,124.25,1312:114:3,0.5
Acetes,chinensis,31.75,124.75,1312:114:4,0.54
Acetes,chinensis,32.25,120.75,1312:120:2,0.51
Acetes,chinensis,32.25,123.75,1312:123:2,0.5
Acetes,chinensis,32.75,123.75,1312:123:4,0.58
Acetes,chinensis,32.25,124.25,1312:124:1,0.5
Acetes,chinensis,32.25,124.75,1312:124:2,0.58
Acetes,chinensis,32.75,124.25,1312:124:3,0.46
Acetes,chinensis,33.25,123.75,1312:133:2,0.58
Acetes,chinensis,34.25,122.75,1312:142:2,0.54
Acetes,chinensis,31.25,129.25,1312:219:1,0.45
Acetes,chinensis,31.25,129.75,1312:219:2,0.46
Acetes,chinensis,31.75,129.75,1312:219:4,0.58
Acetes,chinensis,32.25,128.25,1312:228:1,0.59
Acetes,chinensis,35.25,120.25,1312:350:1,0.54
Acetes,chinensis,35.75,121.75,1312:351:4,0.54
Acetes,chinensis,35.75,122.25,1312:352:3,0.42
Acetes,chinensis,36.75,120.75,1312:360:4,0.4
Acetes,chinensis,36.25,122.25,1312:362:1,0.46
Acetes,chinensis,36.75,124.25,1312:364:3,0.42
Acetes,chinensis,38.25,120.25,1312:380:1,0.51
Acetes,chinensis,39.75,120.25,1312:390:3,0.46
Acetes,chinensis,35.25,128.25,1312:458:1,0.4
Acetes,chinensis,38.25,125.75,1312:485:2,0.4
Acetes,chinensis,38.25,128.25,1312:488:1,0.4
Acetes,chinensis,30.75,130.75,1313:100:4,0.4
Acetes,chinensis,31.25,130.25,1313:110:1,0.5
Acetes,chinensis,31.25,130.75,1313:110:2,0.48
Acetes,chinensis,31.75,130.75,1313:110:4,0.56
Acetes,chinensis,31.25,131.25,1313:111:1,0.45
Acetes,chinensis,31.75,131.25,1313:111:3,0.49
Acetes,chinensis,31.75,131.75,1313:111:4,0.4
Acetes,chinensis,32.25,131.75,1313:121:2,0.5
Acetes,chinensis,32.75,132.25,1313:122:3,0.52
Acetes,chinensis,32.75,132.75,1313:122:4,0.47
Acetes,chinensis,32.75,133.25,1313:123:3,0.43
Acetes,chinensis,33.25,133.25,1313:133:1,0.55
Acetes,chinensis,33.25,133.75,1313:133:2,0.52
Acetes,chinensis,33.25,134.25,1313:134:1,0.48
Acetes,chinensis,32.25,139.75,1313:229:2,0.42
Acetes,chinensis,33.25,135.75,1313:235:2,0.41
Acetes,chinensis,33.25,139.75,1313:239:2,0.46
Acetes,chinensis,33.75,139.75,1313:239:4,0.49
Acetes,chinensis,34.75,135.25,1313:245:3,0.48
Acetes,chinensis,34.75,136.75,1313:246:4,0.54
Acetes,chinensis,34.25,139.75,1313:249:2,0.57
Acetes,chinensis,35.25,139.25,1313:459:1,0.57
Acetes,chinensis,35.75,139.75,1313:459:4,0.55
Acetes,chinensis,30.75,140.25,1314:100:3,0.41
Acetes,chinensis,35.75,141.25,1314:351:3,0.53
Acetes,chinensis,40.75,120.75,1412:100:4,0.51
Acetes,chinensis,40.75,121.75,1412:101:4,0.56
Acetes,chinensis,40.75,122.25,1412:102:3,0.57
Acetes,chinensis,42.75,130.75,1413:120:4,0.43
Acetes,chinensis,42.25,131.25,1413:121:1,0.57
Acetes,chinensis,42.75,131.25,1413:121:3,0.48
Acetes,chinensis,42.75,131.75,1413:121:4,0.43
Acetes,chinensis,42.75,132.25,1413:122:3,0.41
Acetes,chinensis,42.75,132.75,1413:122:4,0.4
Acetes,chinensis,42.75,134.25,1413:124:3,0.41
Acetes,chinensis,43.25,131.75,1413:131:2,0.4
Acetes,chinensis,43.25,135.25,1413:235:1,0.41
Acetes,chinensis,41.75,143.25,1414:113:3,0.58
Acetes,chinensis,42.25,143.25,1414:123:1,0.5
Acetes,chinensis,42.25,143.75,1414:123:2,0.45
Acetes,chinensis,42.75,143.25,1414:123:3,0.43
Acetes,chinensis,45.25,141.75,1414:351:2,0.53
Acetes,chinensis,45.75,141.75,1414:351:4,0.47
Acetes,chinensis,23.75,117.75,1211:237:4,0.66
Acetes,chinensis,23.75,118.25,1211:238:3,0.65
Acetes,chinensis,24.25,118.25,1211:248:1,0.74
Acetes,chinensis,24.25,118.75,1211:248:2,0.65
Acetes,chinensis,24.75,118.25,1211:248:3,0.68
Acetes,chinensis,24.75,118.75,1211:248:4,0.74
Acetes,chinensis,24.75,119.25,1211:249:3,0.63
Acetes,chinensis,25.25,118.75,1211:458:2,0.76
Acetes,chinensis,25.25,119.25,1211:459:1,0.78
Acetes,chinensis,25.25,119.75,1211:459:2,0.77
Acetes,chinensis,25.25,120.25,1212:350:1,0.64
Acetes,chinensis,25.75,120.25,1212:350:3,0.78
Acetes,chinensis,26.25,120.75,1212:360:2,0.7
Acetes,chinensis,26.75,121.25,1212:361:3,0.64
Acetes,chinensis,27.25,121.75,1212:371:2,0.67
Acetes,chinensis,37.75,118.75,1311:478:4,0.63
Acetes,chinensis,37.75,119.75,1311:479:4,0.79
Acetes,chinensis,38.25,118.75,1311:488:2,0.73
Acetes,chinensis,39.25,118.25,1311:498:1,0.73
Acetes,chinensis,30.25,121.25,1312:101:1,0.61
Acetes,chinensis,30.25,121.75,1312:101:2,0.77
Acetes,chinensis,30.25,123.75,1312:103:2,0.72
Acetes,chinensis,31.75,123.25,1312:113:3,0.79
Acetes,chinensis,32.25,123.25,1312:123:1,0.75
Acetes,chinensis,32.75,123.25,1312:123:3,0.79
Acetes,chinensis,33.25,123.25,1312:133:1,0.75
Acetes,chinensis,34.75,121.75,1312:141:4,0.75
Acetes,chinensis,34.75,122.25,1312:142:3,0.62
Acetes,chinensis,31.75,125.25,1312:215:3,0.75
Acetes,chinensis,32.75,128.75,1312:228:4,0.7
Acetes,chinensis,32.25,129.75,1312:229:2,0.68
Acetes,chinensis,32.75,129.25,1312:229:3,0.73
Acetes,chinensis,33.25,127.25,1312:237:1,0.77
Acetes,chinensis,33.25,128.75,1312:238:2,0.77
Acetes,chinensis,33.25,129.25,1312:239:1,0.79
Acetes,chinensis,33.75,129.75,1312:239:4,0.79
Acetes,chinensis,35.25,121.25,1312:351:1,0.75
Acetes,chinensis,35.25,121.75,1312:351:2,0.67
Acetes,chinensis,36.75,123.25,1312:363:3,0.79
Acetes,chinensis,36.75,124.75,1312:364:4,0.75
Acetes,chinensis,37.75,120.75,1312:370:4,0.75
Acetes,chinensis,39.75,121.75,1312:391:4,0.67
Acetes,chinensis,37.25,126.25,1312:476:1,0.71
Acetes,chinensis,31.75,130.25,1313:110:3,0.6
Acetes,chinensis,32.25,130.75,1313:120:2,0.72
Acetes,chinensis,32.75,131.75,1313:121:4,0.6
Acetes,chinensis,33.25,131.75,1313:131:2,0.74
Acetes,chinensis,33.75,131.25,1313:131:3,0.79
Acetes,chinensis,33.75,131.75,1313:131:4,0.77
Acetes,chinensis,33.25,132.25,1313:132:1,0.73
Acetes,chinensis,33.75,132.25,1313:132:3,0.75
Acetes,chinensis,33.75,132.75,1313:132:4,0.77
Acetes,chinensis,33.75,133.25,1313:133:3,0.75
Acetes,chinensis,33.75,133.75,1313:133:4,0.71
