SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22804,188,Ocyurus,chrysurus,Yellowtail snapper,326,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29467,191,Paracaesio,kusakarii,Saddle-back snapper,59,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29468,192,Paracaesio,sordida,Dirty ordure snapper,93,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29469,193,Paracaesio,stonei,Cocoa snapper,18,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-47262,194,Paracaesio,xanthura,Yellowtail blue snapper,191,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-21658,196,Pinjalo,pinjalo,Pinjalo,75,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22810,198,Pristipomoides,aquilonaris,Wenchman,383,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22811,199,Pristipomoides,argyrogrammicus,Ornate jobfish,126,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22936,200,Pristipomoides,auricilla,Goldflag jobfish,102,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22937,201,Pristipomoides,filamentosus,Crimson jobfish,314,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29487,202,Pristipomoides,flavipinnis,Golden eye jobfish,67,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22849,203,Boops,boops,Bogue,488,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae
Fis-22952,204,Sarpa,salpa,Salema,253,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae
Fis-22221,205,Pristipomoides,freemani,Slender wenchman,43,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22938,206,Pristipomoides,macrophthalmus,Cardinal snapper,69,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
